Ticker_Name,Ticker,Texts,Like_Count,Datetime
uob,U11.SI,"""The Gentle Golden Bend"" Heading towards Gas St Basin Birmingham from University of Birmingham bridge @unibham_estates @BridgesCanal @canalphotograph @CRTWestMidlands @WaterwaysEXP @canalriverhub @CanalBoatPics16 @BhamTrees4Life @NaturallyBirmi1 @UoB_Transport @uobgreenheart https://t.co/LQBXXOI39T",16,2023-02-27 12:04:47
uob,U11.SI,"First of our selected abstract presentations: @hesternichols89 from The Vaccine Group on the development of BoHV-4 as a safe, inexpensive, single dose vaccine to control Strep suis infection in pigs #BactiVacEvents #vaccines4AMR @MicrobioSoc @bIGIdeas_UoB @UKgovGHS @Wellcome_AMR https://t.co/GVedyjCtjq",3,2023-02-27 12:19:23
uob,U11.SI,Abstract presentation from @VerenaLentsch from @ETH_en talking about vaccination &amp; niche competition for targeted exclusion of antibiotic resistant bacteria from the gut #BactiVacEvents #vaccines4AMR @MicrobioSoc @bIGIdeas_UoB @UKgovGHS @Wellcome_AMR @britsocimm @unibirm_MDS https://t.co/eUaPuCIa3U,7,2023-02-27 12:29:13
uob,U11.SI,Last abstract presentation before lunch: Rory Hills from @UniofOxford in “Multispecies quartet nanocages elicit a broad ab response for proactive vaccinology #BactiVacEvents #vaccines4AMR @MicrobioSoc @bIGIdeas_UoB @UKgovGHS @Wellcome_AMR @britsocimm @unibirm_MDS https://t.co/zDYDXl6Jhk,8,2023-02-27 12:39:59
uob,U11.SI,"From issue 257 “‘Where Are the Proxenoi?’ Social Network Analysis, Connectivity and the Greek Poleis”

#OpenAccess by William Mack (@CAHA_UoB, @theBRIHC)

https://t.co/xyBm1GIk0Y

#SocialHistory #CulturalHistory #Twitterstorians",2,2023-02-27 12:47:00
uob,U11.SI,"Hear from students across CAL, including FCW's @JemSaunders1, who will be talking about her research into Birmingham on screen.",0,2023-02-27 12:55:58
uob,U11.SI,"Bake bread with Bread &amp; Belief: a Christian community @unibirmingham
We will mix flour into dough and share stories; stories from our lives and from the Bible.
SIGN UP @ https://t.co/IyjAHSKeWW 
Date/Time: Wed, 1 March, 1pm – 3pm.
Location: Oasis Lounge, St Francis Hall 
1/2 https://t.co/NrMzLpev8Z",1,2023-02-27 13:29:26
uob,U11.SI,"Mindful Doodling and Colouring @unibirmingham
Slowdown from the rush of life and creatively and colourfully pay attention to the present moment.
Thurs 2 March 1 - 2pm
Worship Room @UoB_Chaplaincy
To sign up/further information, email @Rev_mindy
https://t.co/TuGvDnOyzx 
1/2 https://t.co/PJgxKKGoTD",2,2023-02-27 13:32:18
uob,U11.SI,"This Month we welcome Fr Jacob Pallett from St Mary's Selly Oak to introduce us to The Stations of the Cross. Whether you are merely curious about Christian spirituality or have been a follower of Jesus all your life, you are most welcome at The Well. 2/3",1,2023-02-27 13:35:31
uob,U11.SI,These creative services will provide space for you to contemplate your own pilgrimage and discover ancient wisdom and spiritual practices from the deep wells of our Christian sacraments and traditions. 3/3,1,2023-02-27 13:35:32
uob,U11.SI,Afternoon session kicks off with a talk from Angela Brueggemann @UniofOxford on the strengths &amp; gaps in using vaccination to limit AMR #BactiVacEvents #vaccines4AMR @MicrobioSoc @Wellcome_AMR @bIGIdeas_UoB @britsocimm @unibirm_MDS @unibirmingham https://t.co/ounRZvSuXz,13,2023-02-27 14:00:08
uob,U11.SI,Abstract presentation from Cristina Alaimo from LimmaTech Biologics on safety &amp; immunogenicity of Kleb4V administered to healthy adults: a FTIH phI/II randomized and controlled study #BactiVacEvents #Vaccines4AMR @MicrobioSoc @bIGIdeas_UoB @Wellcome_AMR @britsocimm @unibirm_MDS https://t.co/nQj7DS8z6b,9,2023-02-27 14:20:55
